Nested Sampling Global Log-Evidence           :    0.321644583022777852E+04  +/-    0.193345110990928354E+00

Dim No.       Mean        Sigma
   1    0.217731058279243633E+00    0.663760897263608574E-03
   2    0.258620238505851546E+03    0.724354687150851539E+01
   3   -0.604372796527324674E+01    0.487396984033297342E+00
   4   -0.207727417041540185E+01    0.164951733444291926E+00
   5   -0.355242308078104685E+01    0.431120508649040890E+00
   6   -0.495841988487449381E+01    0.825948786411491942E+00
   7    0.290268353003943214E+00    0.725168522697766747E-02
   8    0.158932952099448271E-01    0.152784299504506883E-01
   9    0.285764583039077570E+04    0.277122772628680849E+02
  10    0.356204284008070590E+04    0.413249686007515962E+02
  11    0.336816777959775754E+04    0.395098165685434708E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.218543578723513682E+00
   2    0.252580707049939406E+03
   3   -0.559201446466687280E+01
   4   -0.208061973952453183E+01
   5   -0.333845400570103479E+01
   6   -0.487205532121966201E+01
   7    0.298183336938012244E+00
   8    0.354780505797602655E-02
   9    0.287765179843884471E+04
  10    0.358009734328903232E+04
  11    0.332291845888863736E+04

MAP Parameters
Dim No.        Parameter
   1    0.218543578723513682E+00
   2    0.252580707049939406E+03
   3   -0.559201446466687280E+01
   4   -0.208061973952453183E+01
   5   -0.333845400570103479E+01
   6   -0.487205532121966201E+01
   7    0.298183336938012244E+00
   8    0.354780505797602655E-02
   9    0.287765179843884471E+04
  10    0.358009734328903232E+04
  11    0.332291845888863736E+04
