Nested Sampling Global Log-Evidence           :    0.325240053333993455E+04  +/-    0.174211782548928967E+00

Dim No.       Mean        Sigma
   1    0.217207197197734042E+00    0.791296265764370290E-03
   2    0.273814282390146161E+03    0.184610505379867007E+02
   3   -0.594926469368803001E+01    0.574335950581811860E+00
   4   -0.179843592465038760E+01    0.187732546651407678E+00
   5   -0.364364280009199959E+01    0.734838230954987348E+00
   6   -0.383106704912802565E+01    0.772910630303673463E+00
   7    0.376079658262224656E-01    0.291675666607409227E-01
   8    0.350869594425645137E+00    0.385908728197191450E-01
   9    0.300794064346229152E+04    0.908760334072802038E+02
  10    0.351917369457070208E+04    0.143414477791963915E+02
  11    0.338749561803022061E+04    0.192187345102488116E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.218085444613364543E+00
   2    0.255497037698729542E+03
   3   -0.688400768882491043E+01
   4   -0.178307173120297513E+01
   5   -0.366409957538635034E+01
   6   -0.369844741614422112E+01
   7    0.123995952079980903E-01
   8    0.368411643579751757E+00
   9    0.314995033801980435E+04
  10    0.350912503634615678E+04
  11    0.338001144357866133E+04

MAP Parameters
Dim No.        Parameter
   1    0.218085444613364543E+00
   2    0.255497037698729542E+03
   3   -0.688400768882491043E+01
   4   -0.178307173120297513E+01
   5   -0.366409957538635034E+01
   6   -0.369844741614422112E+01
   7    0.123995952079980903E-01
   8    0.368411643579751757E+00
   9    0.314995033801980435E+04
  10    0.350912503634615678E+04
  11    0.338001144357866133E+04
