Nested Sampling Global Log-Evidence           :    0.320503170491397350E+04  +/-    0.201044608737602742E+00

Dim No.       Mean        Sigma
   1    0.217266771983425533E+00    0.699605480805728843E-03
   2    0.268042881659964962E+03    0.130188013026553246E+02
   3   -0.601558958488687523E+01    0.526538110026623207E+00
   4   -0.167409604902942100E+01    0.156000165596199225E+00
   5   -0.370446449493738506E+01    0.454273030314577220E+00
   6   -0.398199342558587555E+01    0.945300050342658182E+00
   7    0.285400236076295222E+00    0.109225018982418293E-01
   8    0.365647733228435134E+00    0.286070207666093458E-01
   9    0.285723123536480625E+04    0.362947643253182406E+02
  10    0.350532456851764255E+04    0.355521265960917798E+01
  11    0.339070529689351861E+04    0.933086816480526515E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.216665085666994994E+00
   2    0.276166693685869632E+03
   3   -0.598191330764319140E+01
   4   -0.168925459839417957E+01
   5   -0.377255711867616039E+01
   6   -0.320579236734772621E+01
   7    0.298312877182557501E+00
   8    0.394557931558772168E+00
   9    0.286353665409713585E+04
  10    0.350781264106759454E+04
  11    0.339389196129193942E+04

MAP Parameters
Dim No.        Parameter
   1    0.216665085666994994E+00
   2    0.276166693685869632E+03
   3   -0.598191330764319140E+01
   4   -0.168925459839417957E+01
   5   -0.377255711867616039E+01
   6   -0.320579236734772621E+01
   7    0.298312877182557501E+00
   8    0.394557931558772168E+00
   9    0.286353665409713585E+04
  10    0.350781264106759454E+04
  11    0.339389196129193942E+04
