file,model_name,model_type,n_transits,spot_fraction,facula_fraction,log_CO2,log_CO2_min1s,log_CO2_max1s,log_CH4,log_CH4_min1s,log_CH4_max1s,log_NH3,log_NH3_min1s,log_NH3_max1s,log_H2O,log_H2O_min1s,log_H2O_max1s
POSEIDON_output\K2-18b\retrievals\results\contam_1T_0spot-0fac_results.txt,contam_1T_0spot-0fac,contam,1,0.0,0.0,-4.33,-4.83,-3.8600000000000003,-2.35,-2.56,-2.15,-4.74,-4.98,-4.49,-5.33,-6.38,-4.37
POSEIDON_output\K2-18b\retrievals\results\contam_1T_0spot-1fac_results.txt,contam_1T_0spot-1fac,contam,1,0.0,0.4,-3.52,-3.98,-3.12,-2.07,-2.2399999999999998,-1.92,-6.02,-6.6,-5.52,-4.85,-5.88,-4.14
POSEIDON_output\K2-18b\retrievals\results\contam_1T_1spot-0fac_results.txt,contam_1T_1spot-0fac,contam,1,0.3,0.0,-3.56,-4.39,-2.91,-1.79,-1.98,-1.62,-5.94,-6.6000000000000005,-5.33,-3.68,-4.49,-3.1500000000000004
POSEIDON_output\K2-18b\retrievals\results\contam_1T_1spot-1fac_results.txt,contam_1T_1spot-1fac,contam,1,0.3,0.4,-3.7,-4.16,-3.25,-1.67,-1.8299999999999998,-1.52,-6.02,-6.619999999999999,-5.4399999999999995,-3.76,-4.949999999999999,-3.15
POSEIDON_output\K2-18b\retrievals\results\recon_1T_0spot-0fac_results.txt,recon_1T_0spot-0fac,recon,1,0.0,0.0,-4.12,-4.62,-3.64,-2.26,-2.4699999999999998,-2.0599999999999996,-4.72,-5.01,-4.4399999999999995,-5.41,-6.48,-4.35
POSEIDON_output\K2-18b\retrievals\results\recon_1T_0spot-1fac_results.txt,recon_1T_0spot-1fac,recon,1,0.0,0.4,-4.02,-5.069999999999999,-3.1199999999999997,-2.22,-2.49,-1.9900000000000002,-5.36,-6.16,-4.890000000000001,-2.35,-2.73,-2.12
POSEIDON_output\K2-18b\retrievals\results\recon_1T_1spot-0fac_results.txt,recon_1T_1spot-0fac,recon,1,0.3,0.0,-6.09,-6.65,-5.6,-4.02,-4.17,-3.8699999999999997,-6.67,-6.89,-6.39,-6.29,-6.78,-5.69
POSEIDON_output\K2-18b\retrievals\results\recon_1T_1spot-1fac_results.txt,recon_1T_1spot-1fac,recon,1,0.3,0.4,-2.04,-2.29,-1.85,-1.99,-2.16,-1.82,-5.77,-6.47,-5.1899999999999995,-5.25,-6.4399999999999995,-4.03
POSEIDON_output\K2-18b\retrievals\results\recon_5T_0spot-0fac_results.txt,recon_5T_0spot-0fac,recon,5,0.0,0.0,-2.7,-2.9200000000000004,-2.5100000000000002,-1.78,-1.86,-1.7,-5.47,-5.77,-5.22,-5.17,-6.3,-4.28
POSEIDON_output\K2-18b\retrievals\results\recon_5T_0spot-1fac_results.txt,recon_5T_0spot-1fac,recon,5,0.0,0.4,-2.74,-2.97,-2.5300000000000002,-1.81,-1.9000000000000001,-1.73,-5.5,-5.84,-5.24,-4.31,-5.2299999999999995,-3.7799999999999994
