lambda,sigma_inst,sigma_ale_med,sigma_epi_med,sigma_total_med,ratio_ale_inst,ratio_total_inst
0,0.00013457260900473356,6.72863e-05,7.6937185e-06,6.772473e-05,0.4999999851962187,0.5032579095331275
1,0.00013312769719795472,6.656385e-05,8.5277825e-06,6.710789e-05,0.5000000169147433,0.504086603809721
2,0.00013317079357750335,6.6585395e-05,6.623557e-06,6.691402e-05,0.4999999862773372,0.5024676887875799
3,0.00013412611931693083,6.706306e-05,9.376253e-06,6.771535e-05,0.5000000143163728,0.5048632699106856
4,0.0001338177163785294,6.6908855e-05,6.9484695e-06,6.726869e-05,0.49999997566634025,0.5026889505909428
5,0.00013072761071401557,6.5363805e-05,7.035127e-06,6.574131e-05,0.49999999982108057,0.5028877278441999
6,0.00012740068070007864,6.370034e-05,7.44229e-06,6.4133616e-05,0.4999999935168013,0.5034008858635778
7,0.00012510534523622148,6.255267e-05,7.138562e-06,6.295869e-05,0.5000000080544044,0.5032453768755369
8,0.00012427607738710745,6.213804e-05,8.692923e-06,6.274315e-05,0.4999999994821737,0.5048690966058005
9,0.00012550083445942578,6.275042e-05,7.192174e-06,6.316124e-05,0.5000000189009514,0.503273482352722
10,0.00012751778077593488,6.375889e-05,7.769257e-06,6.42305e-05,0.49999999033098985,0.5036984002136463
11,0.00012673229041216256,6.336615e-05,9.177158e-06,6.402725e-05,0.5000000182180646,0.5052165323569022
12,0.0001239844157418354,6.199221e-05,7.975588e-06,6.250315e-05,0.499999989835993,0.504121046861114
13,0.00012189203355733957,6.094602e-05,8.9095765e-06,6.159381e-05,0.5000000140665375,0.505314496394878
14,0.00012102466757190218,6.0512335e-05,7.354498e-06,6.0957616e-05,0.5000000103592447,0.5036792712815346
15,0.00012072375814051244,6.036188e-05,6.9133375e-06,6.0756487e-05,0.500000000661793,0.5032686855445742
16,0.00012015428609666523,6.0077142e-05,7.127203e-06,6.049843e-05,0.4999999898176273,0.5035062222915876
17,0.00011942622823291171,5.9713115e-05,7.987905e-06,6.0245024e-05,0.5000000053174837,0.5044538752023093
18,0.00011895924231348296,5.9479622e-05,7.772975e-06,5.998537e-05,0.5000000070525384,0.5042514478481206
19,0.00011897008281257862,5.9485043e-05,7.725874e-06,5.998466e-05,0.5000000099002988,0.5041995377957296
20,0.00011852991548453538,5.926496e-05,1.3364289e-05,6.0753104e-05,0.5000000141394445,0.5125550246512464
